time,swiggy,zomato,Eatsure,Eatclub,Dominoz,BigBasket,Dunzo,zepto,Blinkit,Others,Total deliveries
2022-10-29 22:00:00,15,5,0,2,0,0,3,7,0,0,32
2022-10-29 23:00:00,6,3,1,0,1,0,0,3,1,0,15
2022-10-30 0:00:00,3,1,0,0,0,0,0,0,0,0,4
2022-10-30 1:00:00,3,2,0,0,0,0,0,1,0,0,6
2022-10-30 2:00:00,2,0,0,0,0,0,0,0,0,0,2
2022-10-30 3:00:00,4,0,0,0,0,0,0,0,0,0,4
2022-10-30 4:00:00,1,1,0,0,0,0,0,0,0,0,2
2022-10-30 5:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-30 6:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-30 7:00:00,0,0,0,0,0,0,0,1,1,0,2
2022-10-30 8:00:00,0,2,0,0,0,1,0,2,1,0,6
2022-10-30 9:00:00,1,1,0,0,0,0,0,1,0,0,3
2022-10-30 10:00:00,2,0,0,0,0,0,1,1,0,0,4
2022-10-30 11:00:00,4,2,0,0,0,1,1,1,0,0,9
2022-10-30 12:00:00,9,7,0,0,0,1,1,2,2,1,23
2022-10-30 13:00:00,18,9,0,1,1,1,0,1,0,1,32
2022-10-30 14:00:00,24,6,0,1,0,0,1,1,2,0,35
2022-10-30 15:00:00,15,1,1,1,0,0,0,1,0,0,19
2022-10-30 16:00:00,7,3,0,1,0,1,1,1,1,0,15
2022-10-30 17:00:00,7,3,1,0,0,1,4,0,1,0,17
2022-10-30 18:00:00,4,4,0,1,0,0,0,3,1,0,13
2022-10-30 19:00:00,11,8,1,2,1,2,2,3,0,0,30
2022-10-30 20:00:00,19,5,1,1,1,0,0,0,1,0,28
2022-10-30 21:00:00,20,6,1,1,0,1,0,1,0,0,30
2022-10-30 22:00:00,13,3,1,3,1,0,2,0,1,0,24
2022-10-30 23:00:00,4,0,0,0,0,0,0,1,0,0,5
2022-10-31 0:00:00,6,0,0,0,0,0,0,2,0,0,8
2022-10-31 1:00:00,4,1,0,0,0,0,0,2,0,0,7
2022-10-31 2:00:00,5,1,0,0,0,0,0,0,0,0,6
2022-10-31 3:00:00,1,1,0,0,0,0,0,0,0,0,2
2022-10-31 4:00:00,0,1,0,0,0,0,0,0,0,0,1
